station_name,station_number,line_number,line_number.alt,perehod,perehod.alt,depth,opening_date,potok,latitude,longitude
Новохохловская,13,14,Московское центральное кольцо,,,,2016-09-10,,"55,72388889","37,71611111"
Угрешская,14,14,Московское центральное кольцо,7,Переход на станцию Полежаевская Таганско-Краснопресненской линии,,2016-09-10,,"55,71833333","37,69777778"
Автозаводская,16,14,Московское центральное кольцо,2,Переход на станцию Автозаводская Замоскворецкой линии,,2016-09-10,,"55,70638889","37,66305556"
ЗИЛ,17,14,Московское центральное кольцо,,,,2016-09-10,,"55,69833333","37,64833333"
Верхние Котлы,18,14,Московское центральное кольцо,9,Переход на станцию Нагатинская Серпуховско-Тимирязевской линии,,2016-09-10,,"55,69","37,61888889"
Крымская,19,14,Московское центральное кольцо,,,,2016-09-10,,"55,69","37,605"
Площадь Гагарина,20,14,Московское центральное кольцо,6,Переход на станцию Ленинский проспект Калужско-Рижской линии,,2016-09-10,,"55,70694444","37,58583333"
Лужники,21,14,Московское центральное кольцо,1,Переход на станцию Спортивная Сокольнической линии,,2016-09-10,,"55,72027778","37,56305556"
Кутузовская,22,14,Московское центральное кольцо,4,Переход на станцию Кутузовская Филёвской линии,,2016-09-10,,"55,74083333","37,53333333"
Деловой центр,23,14,Московское центральное кольцо,4,Переход на станцию Международная Филёвской линии,,2016-09-10,,"55,74722222","37,53222222"
Шелепиха,24,14,Московское центральное кольцо,,,,2016-09-10,,"55,7575","37,52555556"
Хорошёво,25,14,Московское центральное кольцо,7,Переход на станцию Полежаевская Таганско-Краснопресненской линии,,2016-09-10,,"55,77722222","37,50722222"
Стрешнево,28,14,Московское центральное кольцо,,,,2016-09-10,,"55,81361111","37,48694444"
Балтийская,29,14,Московское центральное кольцо,2,Переход на станцию Войковская Замоскворецкой линии,,2016-09-10,,"55,82583333","37,49611111"
Лихоборы,31,14,Московское центральное кольцо,,,,2016-09-10,,"55,84722222","37,55138889"
Петровско-Разумовская,1,10,Люблинско-Дмитровская,9,Переход на станцию Петровско-Разумовская Серпуховско-Тимирязевской линии,-61,2016-09-16,63100,"55,835","37,57444444"
Фонвизинская,2,10,Люблинско-Дмитровская,13,Переход на станцию Улица Милашенкова Московского монорельса,-65,2016-09-16,,"55,82277778","37,58805556"
Бутырская,3,10,Люблинско-Дмитровская,,,-60,2016-09-16,,"55,81333333","37,60277778"
Соколиная Гора,9,14,Московское центральное кольцо,,,,2016-10-11,,"55,77","37,74527778"
Дубровка,15,14,Московское центральное кольцо,10,Переход на станцию Дубровка Люблинско-Дмитровской линии,,2016-10-11,,"55,71277778","37,67777778"
Коптево,30,14,Московское центральное кольцо,,,,2016-11-01,,"55,83972222","37,52"
Зорге,26,14,Московское центральное кольцо,,,,2016-11-04,,"55,78916667","37,50416667"
Панфиловская,27,14,Московское центральное кольцо,7,Переход на станцию Октябрьское поле Таганско-Краснопресненской линии,,2016-11-08,,"55,79805556","37,49972222"
Раменки,1,8А,Солнцевская,,,-15,2017-03-16,,"55,69611111","37,50527778"
Ломоносовский проспект,2,8А,Солнцевская,,,-15,2017-03-16,,"55,70555556","37,5225"
Минская,3,8А,Солнцевская,,,-15,2017-03-16,,"55,72333333","37,50388889"
