station_name,station_number,line_number,line_number.alt,perehod,perehod.alt,depth,opening_date,potok,latitude,longitude
Белорусская,7,2,Замоскворецкая,5,Переход на станцию Белорусская Кольцевой линии,"-33,1",1938-09-11,64100,"55,77666667","37,58361111"
Маяковская,8,2,Замоскворецкая,,,"-33,1",1938-09-11,51900,"55,77","37,59583333"
Театральная,10,2,Замоскворецкая,1,Переход на станцию Охотный Ряд Сокольнической линии,"-33,9",1938-09-11,59900,"55,75777778","37,61888889"
Автозаводская,13,2,Замоскворецкая,14,Переход на станцию Автозаводская Московского центрального кольца,-11,1943-01-01,86600,"55,7075","37,6575"
Новокузнецкая,11,2,Замоскворецкая,6,Переход на станцию Третьяковская Калужско-Рижской линии,"-37,5",1943-11-20,66300,"55,74138889","37,62944444"
Павелецкая,12,2,Замоскворецкая,5,Переход на станцию Павелецкая Кольцевой линии,"-33,5",1943-11-20,58100,"55,73055556","37,63777778"
Бауманская,16,3,Арбатско-Покровская,,,"-32,5",1944-01-18,35800,"55,77305556","37,68055556"
Семёновская,18,3,Арбатско-Покровская,,,-40,1944-01-18,63300,"55,78333333","37,72083333"
Партизанская,19,3,Арбатско-Покровская,14,Переход на станцию Измайлово Московского центрального кольца,-9,1944-01-18,16100,"55,78861111","37,75055556"
Электрозаводская,17,3,Арбатско-Покровская,,,"-31,5",1944-05-15,43600,"55,78166667","37,70361111"
Парк культуры,1,5,Кольцевая,1,Переход на станцию Парк культуры Сокольнической линии,-40,1950-01-01,39100,"55,73583333","37,59138889"
Октябрьская,2,5,Кольцевая,6,Переход на станцию Октябрьская Калужско-Рижской линии,-40,1950-01-01,30500,"55,72972222","37,60916667"
Добрынинская,3,5,Кольцевая,9,Переход на станцию Серпуховская Серпуховско-Тимирязевской линии,"-35,5",1950-01-01,26100,"55,72916667","37,62416667"
Павелецкая,4,5,Кольцевая,2,Переход на станцию Павелецкая Замоскворецкой линии,-40,1950-01-01,37300,"55,73166667","37,63777778"
Таганская,5,5,Кольцевая,7,Переход на станцию Таганская Таганско-Краснопресненской линии,-53,1950-01-01,68600,"55,74166667","37,65166667"
Курская,6,5,Кольцевая,3,Переход на станцию Курская Арбатско-Покровской линии,-40,1950-01-01,43800,"55,75694444","37,65944444"
Комсомольская,7,5,Кольцевая,1,Переход на станцию Комсомольская Сокольнической линии,-37,1952-01-30,56000,"55,77472222","37,655"
Проспект Мира,8,5,Кольцевая,6,Переход на станцию Проспект Мира Калужско-Рижской линии,-40,1952-01-30,19100,"55,77972222","37,63166667"
Новослободская,9,5,Кольцевая,9,Переход на станцию Менделеевская Серпуховско-Тимирязевской линии,-40,1952-01-30,49000,"55,78","37,60277778"
Белорусская,10,5,Кольцевая,2,Переход на станцию Белорусская Замоскворецкой линии,"-42,5",1952-01-30,40800,"55,77638889","37,58444444"
Киевская,11,3,Арбатско-Покровская,4,Переход на станцию Киевская Филёвской линии,-38,1953-04-05,60800,"55,74416667","37,56444444"
Смоленская,12,3,Арбатско-Покровская,,,-50,1953-04-05,30400,"55,7475","37,58222222"
Арбатская,13,3,Арбатско-Покровская,1,Переход на станцию Библиотека имени Ленина Сокольнической линии,-41,1953-04-05,34000,"55,75222222","37,60611111"
Краснопресненская,11,5,Кольцевая,7,Переход на станцию Баррикадная Таганско-Краснопресненской линии,"-35,5",1954-03-14,29400,"55,76138889","37,5775"
Киевская,12,5,Кольцевая,3,Переход на станцию Киевская Арбатско-Покровской линии,-48,1954-03-14,55500,"55,74472222","37,56444444"
Фрунзенская,14,1,Сокольническая,,,-42,1957-05-01,11800,"55,72666667","37,57861111"
Спортивная,15,1,Сокольническая,14,Переход на станцию Лужники Московского центрального кольца,-42,1957-05-01,30100,"55,72333333","37,56388889"
ВДНХ,5,6,Калужско-Рижская,13,Переход на станцию Выставочный центр Московского монорельса,"-53,5",1958-05-01,67400,"55,82111111","37,64111111"
Алексеевская,6,6,Калужско-Рижская,,,-51,1958-05-01,29200,"55,80888889","37,63888889"
Рижская,7,6,Калужско-Рижская,,,-46,1958-05-01,32700,"55,79361111","37,63611111"
Проспект Мира,8,6,Калужско-Рижская,5,Переход на станцию Проспект Мира Кольцевой линии,-50,1958-05-01,55700,"55,78111111","37,63166667"
Кутузовская,6,4,Филёвская,14,Переход на станцию Кутузовская Московского центрального кольца,0,1958-11-07,6700,"55,74","37,53444444"
Студенческая,7,4,Филёвская,,,0,1958-11-07,2500,"55,73888889","37,54833333"
Воробьёвы горы,16,1,Сокольническая,,,10,1959-01-12,3900,"55,71027778","37,55916667"
Университет,17,1,Сокольническая,,,"-26,5",1959-01-12,50900,"55,6925","37,53333333"
Фили,5,4,Филёвская,,,0,1959-11-07,24700,"55,74611111","37,515"
Пионерская,2,4,Филёвская,,,0,1961-10-13,2100,"55,73611111","37,46722222"
Филёвский парк,3,4,Филёвская,,,0,1961-10-13,15100,"55,73972222","37,48333333"
Багратионовская,4,4,Филёвская,,,0,1961-10-13,15300,"55,74388889","37,49777778"
Измайловская,20,3,Арбатско-Покровская,,,0,1961-10-21,22500,"55,78777778","37,78138889"
Первомайская,21,3,Арбатско-Покровская,,,-7,1961-10-21,54600,"55,79472222","37,79916667"
Октябрьская,13,6,Калужско-Рижская,5,Переход на станцию Октябрьская Кольцевой линии,-50,1962-10-13,18800,"55,73055556","37,61111111"
Ленинский проспект,15,6,Калужско-Рижская,14,Переход на станцию Площадь Гагарина Московского центрального кольца,-16,1962-10-13,62200,"55,70777778","37,58611111"
Академическая,16,6,Калужско-Рижская,,,"-8,5",1962-10-13,47700,"55,68777778","37,57333333"
Профсоюзная,17,6,Калужско-Рижская,,,-7,1962-10-13,73900,"55,67805556","37,56277778"
Новые Черёмушки,18,6,Калужско-Рижская,,,-7,1962-10-13,75000,"55,67027778","37,55444444"
Щёлковская,22,3,Арбатско-Покровская,,,-8,1963-07-22,71000,"55,80944444","37,79861111"
Проспект Вернадского,18,1,Сокольническая,,,-8,1963-12-30,43200,"55,67722222","37,50611111"
Юго-Западная,19,1,Сокольническая,,,-8,1963-12-30,71600,"55,66361111","37,48333333"
Речной вокзал,1,2,Замоскворецкая,,,-6,1964-12-31,88800,"55,855","37,47611111"
Водный стадион,2,2,Замоскворецкая,,,-6,1964-12-31,49400,"55,83972222","37,48666667"
Войковская,3,2,Замоскворецкая,14,Переход на станцию Балтийская Московского центрального кольца,-7,1964-12-31,91200,"55,81888889","37,49805556"
Молодёжная,7,3,Арбатско-Покровская,,,"-6,5",1965-07-05,44500,"55,74083333","37,41666667"
Кунцевская,1,4,Филёвская,3,Кросс-платформенная пересадка на станцию Кунцевская Арбатско-Покровской линии,0,1965-08-31,35100,"55,73083333","37,44583333"
Преображенская площадь,3,1,Сокольническая,,,-8,1965-12-31,50800,"55,79638889","37,715"
Таганская,14,7,Таганско-Краснопресненская,5,Переход на станцию Таганская Кольцевой линии,-36,1966-12-31,70600,"55,74027778","37,65222222"
Пролетарская,15,7,Таганско-Краснопресненская,10,Переход на станцию Крестьянская застава Люблинско-Дмитровской линии,-9,1966-12-31,34900,"55,73194444","37,66583333"
Волгоградский проспект,16,7,Таганско-Краснопресненская,,,-8,1966-12-31,27000,"55,72527778","37,68694444"
Текстильщики,17,7,Таганско-Краснопресненская,,,-13,1966-12-31,47900,"55,70888889","37,73166667"
Кузьминки,18,7,Таганско-Краснопресненская,,,-8,1966-12-31,53200,"55,70555556","37,76555556"
Рязанский проспект,19,7,Таганско-Краснопресненская,,,-6,1966-12-31,86600,"55,71694444","37,79333333"
Выхино,20,7,Таганско-Краснопресненская,,,0,1966-12-31,151500,"55,71555556","37,81805556"
Коломенская,15,2,Замоскворецкая,,,-9,1969-08-11,94200,"55,67861111","37,66388889"
Каширская,16,2,Замоскворецкая,11,Кросс-платформенная пересадка на станцию Каширская Каховской линии,-7,1969-08-11,48900,"55,655","37,64861111"
Каширская,1,11,Каховская,2,Кросс-платформенная пересадка на станцию Каширская Замоскворецкой линии,-7,1969-08-11,18600,"55,655","37,64861111"
Варшавская,2,11,Каховская,,,-9,1969-08-11,33100,"55,65333333","37,61944444"
Каховская,3,11,Каховская,9,Переход на станцию Севастопольская Серпуховско-Тимирязевской линии,-8,1969-08-11,4900,"55,65305556","37,59833333"
Китай-город,11,6,Калужско-Рижская,7,Кросс-платформенная пересадка на станцию Китай-город Таганско-Краснопресненской линии,-29,1971-01-03,41000,"55,75527778","37,63333333"
Третьяковская,12,6,Калужско-Рижская,2,Переход на станцию Новокузнецкая Замоскворецкой линии,-46,1971-01-03,26700,"55,74111111","37,6275"
Китай-город,13,7,Таганско-Краснопресненская,6,Кросс-платформенная пересадка на станцию Китай-город Калужско-Рижской линии,-29,1971-01-03,38200,"55,75527778","37,63333333"
Сухаревская,9,6,Калужско-Рижская,,,-43,1972-01-05,15900,"55,77333333","37,63194444"
Тургеневская,10,6,Калужско-Рижская,1,Переход на станцию Чистые пруды Сокольнической линии,-49,1972-01-05,27800,"55,76611111","37,6375"
Октябрьское поле,6,7,Таганско-Краснопресненская,14,Переход на станцию Панфиловская Московского центрального кольца,-9,1972-12-30,57400,"55,79361111","37,49361111"
Полежаевская,7,7,Таганско-Краснопресненская,14,Переход на станцию Хорошёво Московского центрального кольца,-10,1972-12-30,67000,"55,7775","37,51916667"
Беговая,8,7,Таганско-Краснопресненская,,,-9,1972-12-30,38600,"55,77388889","37,54666667"
Улица 1905 года,9,7,Таганско-Краснопресненская,,,-11,1972-12-30,80500,"55,765","37,56138889"
Баррикадная,10,7,Таганско-Краснопресненская,5,Переход на станцию Краснопресненская Кольцевой линии,-30,1972-12-30,49500,"55,76111111","37,57944444"
Калужская,19,6,Калужско-Рижская,,,-10,1974-08-12,86600,"55,65722222","37,54055556"
Беляево,20,6,Калужско-Рижская,,,-12,1974-08-12,53400,"55,64277778","37,52583333"
Пушкинская,11,7,Таганско-Краснопресненская,2,Переход на станцию Тверская Замоскворецкой линии,-51,1975-12-17,66900,"55,765","37,60777778"
Кузнецкий Мост,12,7,Таганско-Краснопресненская,1,Переход на станцию Лубянка Сокольнической линии,"-39,5",1975-12-17,14900,"55,76055556","37,62583333"
Планерная,1,7,Таганско-Краснопресненская,,,-6,1975-12-30,56200,"55,86083333","37,43638889"
Сходненская,2,7,Таганско-Краснопресненская,,,-6,1975-12-30,83200,"55,85055556","37,43972222"
Тушинская,3,7,Таганско-Краснопресненская,,,"-10,5",1975-12-30,42400,"55,82666667","37,43666667"
Щукинская,5,7,Таганско-Краснопресненская,,,-13,1975-12-30,90700,"55,80861111","37,46416667"
Медведково,1,6,Калужско-Рижская,,,-10,1978-09-30,50200,"55,88722222","37,66138889"
Бабушкинская,2,6,Калужско-Рижская,,,-10,1978-09-30,65100,"55,86944444","37,66444444"
Свиблово,3,6,Калужско-Рижская,,,-8,1978-09-30,45500,"55,85527778","37,65277778"
Ботанический сад,4,6,Калужско-Рижская,14,Переход на станцию Ботанический сад Московского центрального кольца,-7,1978-09-30,42500,"55,845","37,63833333"
Тверская,9,2,Замоскворецкая,7,Переход на станцию Пушкинская Таганско-Краснопресненской линии,-42,1979-07-20,50900,"55,76472222","37,60638889"
Марксистская,2,8,Калининская,5,Переход на станцию Таганская Кольцевой линии,-60,1979-12-30,30900,"55,74111111","37,65416667"
Площадь Ильича,3,8,Калининская,10,Переход на станцию Римская Люблинско-Дмитровской линии,-46,1979-12-30,32700,"55,74722222","37,6825"
Авиамоторная,4,8,Калининская,,,-53,1979-12-30,37100,"55,7525","37,71916667"
Шоссе Энтузиастов,5,8,Калининская,14,Переход на станцию Шоссе Энтузиастов Московского центрального кольца,-53,1979-12-30,36200,"55,7575","37,75"
Перово,6,8,Калининская,,,-9,1979-12-30,68800,"55,75111111","37,78666667"
Новогиреево,7,8,Калининская,,,-9,1979-12-30,57000,"55,75166667","37,81666667"
Шаболовская,14,6,Калужско-Рижская,,,"-46,5",1980-11-06,47100,"55,71972222","37,60833333"
Серпуховская,14,9,Серпуховско-Тимирязевская,5,Переход на станцию Добрынинская Кольцевой линии,-43,1983-11-08,24700,"55,72805556","37,62472222"
Тульская,15,9,Серпуховско-Тимирязевская,,,"-9,5",1983-11-08,35200,"55,70861111","37,62277778"
Нагатинская,16,9,Серпуховско-Тимирязевская,14,Переход на станцию Верхние Котлы Московского центрального кольца,"-13,5",1983-11-08,44200,"55,68305556","37,6225"
Нагорная,17,9,Серпуховско-Тимирязевская,,,-9,1983-11-08,34100,"55,6725","37,61027778"
Нахимовский проспект,18,9,Серпуховско-Тимирязевская,,,"-9,5",1983-11-08,39300,"55,66277778","37,60555556"
Севастопольская,19,9,Серпуховско-Тимирязевская,11,Переход на станцию Каховская Каховской линии,-13,1983-11-08,26400,"55,6525","37,59833333"
Чертановская,20,9,Серпуховско-Тимирязевская,,,"-10,5",1983-11-08,39000,"55,64055556","37,60666667"
Южная,21,9,Серпуховско-Тимирязевская,,,-10,1983-11-08,41700,"55,6225","37,60888889"
Кантемировская,17,2,Замоскворецкая,,,-8,1984-12-30,39200,"55,63583333","37,65638889"
Царицыно,18,2,Замоскворецкая,,,-8,1984-12-30,83200,"55,62138889","37,66944444"
Орехово,19,2,Замоскворецкая,,,-9,1984-12-30,47300,"55,61333333","37,695"
Домодедовская,20,2,Замоскворецкая,,,"-9,5",1985-09-07,93600,"55,61083333","37,71861111"
Красногвардейская,21,2,Замоскворецкая,10,Переход на станцию Зябликово Люблинско-Дмитровской линии,-9,1985-09-07,39400,"55,61361111","37,74444444"
Пражская,22,9,Серпуховско-Тимирязевская,,,"-9,5",1985-11-06,78100,"55,6125","37,60444444"
Боровицкая,12,9,Серпуховско-Тимирязевская,1,Переход на станцию Библиотека имени Ленина Сокольнической линии,"-46,5",1986-01-23,6400,"55,75111111","37,60722222"
Полянка,13,9,Серпуховско-Тимирязевская,,,"-36,5",1986-01-23,25800,"55,73777778","37,61805556"
Третьяковская,1,8,Калининская,2,Переход на станцию Новокузнецкая Замоскворецкой линии,-46,1986-01-25,29700,"55,74111111","37,6275"
Коньково,21,6,Калужско-Рижская,,,-8,1987-11-06,35500,"55,63333333","37,51888889"
Тёплый Стан,22,6,Калужско-Рижская,,,-8,1987-11-06,31300,"55,61916667","37,50833333"
Чеховская,11,9,Серпуховско-Тимирязевская,2,Переход на станцию Тверская Замоскворецкой линии,-62,1987-12-31,22900,"55,76444444","37,60972222"
Савёловская,8,9,Серпуховско-Тимирязевская,,,-52,1988-12-31,59400,"55,79277778","37,58861111"
Менделеевская,9,9,Серпуховско-Тимирязевская,5,Переход на станцию Новослободская Кольцевой линии,"-48,5",1988-12-31,40200,"55,78111111","37,60111111"
Цветной бульвар,10,9,Серпуховско-Тимирязевская,10,Переход на станцию Трубная Люблинско-Дмитровской линии,-50,1988-12-31,50300,"55,77083333","37,61861111"
Крылатское,6,3,Арбатско-Покровская,,,"-9,5",1989-12-31,38900,"55,75666667","37,40805556"
Ясенево,23,6,Калужско-Рижская,,,-8,1990-01-17,53600,"55,60638889","37,53333333"
Новоясеневская,24,6,Калужско-Рижская,12,Переход на станцию Битцевский парк Бутовской линии,-7,1990-01-17,7800,"55,60111111","37,55416667"
Бульвар Рокоссовского,1,1,Сокольническая,14,Переход на станцию Бульвар Рокоссовского Московского центрального кольца,-8,1990-08-01,30800,"55,81472222","37,73416667"
Черкизовская,2,1,Сокольническая,14,Переход на станцию Локомотив Московского центрального кольца,-9,1990-08-01,25900,"55,80388889","37,74472222"
Отрадное,3,9,Серпуховско-Тимирязевская,,,-9,1991-03-01,92700,"55,86333333","37,60472222"
Владыкино,4,9,Серпуховско-Тимирязевская,14,Переход на станцию Владыкино Московского центрального кольца,"-10,5",1991-03-01,34600,"55,84722222","37,59"
Петровско-Разумовская,5,9,Серпуховско-Тимирязевская,10,Переход на станцию Петровско-Разумовская Люблинско-Дмитровской линии,-61,1991-03-01,63400,"55,835","37,57444444"
Тимирязевская,6,9,Серпуховско-Тимирязевская,13,Переход на станцию Тимирязевская Московского монорельса,"-63,5",1991-03-01,66800,"55,8175","37,57638889"
Дмитровская,7,9,Серпуховско-Тимирязевская,,,-59,1991-03-01,59700,"55,80694444","37,58166667"
